InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
PERPNFLGJXUDDW	naturalproduct			
PESKGJQREUXSRR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PETSAYFQSGAEQY	|human|naturalproduct	9606|Homo sapiens		
PEUUVVGQIVMSAW	naturalproduct			
PEWFWDOPJISUOK	food|naturalproduct			
PEYUIKBAABKQKQ	food|naturalproduct|bacterial|bacterial_produced		feces	
PFCHFHIRKBAQGU	|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption
PFCVZKFJHRCLCC	naturalproduct			
PFDGTTDLWWKNMI	plant|naturalproduct_plant	1087776|Euphorbia pithyusa:3977|Euphorbiaceae		
PFDUUKDQEHURQC	drug|drug_metabolite|human_modified|food|human|naturalproduct	:9606|Homo sapiens	blood|cerebrospinal fluid|urine	|food consumption
PFDVWJCSCYDRMZ	naturalproduct			
PFIQXUYXVYYERO	naturalproduct			
PFJJMJDEVDLPNE	biocide_herbicide|environmental			
PFMGWOVPHHEHAL	food			
PFMWLSLCVYOPSJ	naturalproduct|bacterial|bacterial_produced			
PFNFFQXMRSDOHW	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PFTAWBLQPZVEMU	food|plant_angiospermae|naturalproduct_plant|plant|drug|human|naturalproduct	:1801580|Byrsonima intermedia:1561735|Amorimia septentrionalis:1816324|Niedenzuella multiglandulosa:9606|Homo sapiens	blood|feces|urine	food consumption_cocoa|food consumption_pome fruits|food consumption_tea|food consumption|drug or medication use|food consumption_herbs
PFURGBBHAOXLIO	naturalproduct			
PFWQSHXPNKRLIV	|food|human	9606|Homo sapiens		food consumption
PFYKDKMYQRWRGF	naturalproduct|fungal|fungal_produced			
PGAVKCOVUIYSFO	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PGBHMTALBVVCIT	naturalproduct|fungal|fungal_produced			
PGCKDCPTJAQQSQ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PGFKZUOYIFDMQJ	naturalproduct			
PGHMRUGBZOYCAA	biocide|environmental|bacterial|bacterial_produced			
PGMHPYRIXBRRQD	bacterial|bacterial_modified			
PGOMXBOHQUBUMI	naturalproduct			
PGOYMURMZNDHNS	food|naturalproduct			
PGPMCWZMPPZJML	naturalproduct			
